State,Colonies,Lost Colonies,Year,Percent Lost
Maine,45208,18038,2012,0.399
Maryland,12839,6342,2012,0.494
Massachusetts,14518,4994,2012,0.344
Michigan,22462,9322,2012,0.415
Minnesota,45182,25980,2012,0.575
Mississippi,108558,65352,2012,0.602
Missouri,764,255,2012,0.334
Montana,29236,8859,2012,0.303
MultiStateOperation,386054,179515,2012,0.465
Nebraska,85764,53345,2012,0.622
New Hampshire,511,187,2012,0.365
New Jersey,24259,9679,2012,0.399
New Mexico,42,25,2012,0.606
New York,38288,15890,2012,0.415
North Carolina,3569,1670,2012,0.468
North Dakota,182556,77039,2012,0.422
Ohio,11444,5413,2012,0.473
Oklahoma,3632,2375,2012,0.654
Oregon,15152,5500,2012,0.363
Pennsylvania,22095,10142,2012,0.459
Rhode Island,62,23,2012,0.375
South Carolina,2969,769,2012,0.259
South Dakota,83852,53078,2012,0.633
Tennessee,615,316,2012,0.514
Texas,65608,33329,2012,0.508
Utah,9734,4886,2012,0.502
Vermont,2854,853,2012,0.299
Virginia,14462,6942,2012,0.48
Washington,48969,21253,2012,0.434
West Virginia,2124,1185,2012,0.558
Wisconsin,19097,8345,2012,0.437
Wyoming,13370,6204,2012,0.464
Alabama,388,105,2011,0.27
Arizona,275,74,2011,0.268
Arkansas,273,104,2011,0.382
California,118536,35087,2011,0.296
Colorado,544,207,2011,0.381
Connecticut,224,54,2011,0.243
Delaware,138,72,2011,0.522
District of Columbia,1266,1080,2011,0.853
Florida,28095,12502,2011,0.445
Georgia,7617,4166,2011,0.547
Hawaii,11097,2264,2011,0.204
Idaho,5416,1338,2011,0.247
Illinois,407,214,2011,0.526
Indiana,1421,273,2011,0.192
Iowa,258,118,2011,0.458
Kansas,454,155,2011,0.341
Kentucky,371,134,2011,0.36
Louisiana,891,448,2011,0.503
Maine,18177,9361,2011,0.515
Maryland,797,300,2011,0.376
Massachusetts,13079,6252,2011,0.478
Michigan,6003,1357,2011,0.226
Minnesota,387,144,2011,0.371
Mississippi,33,7,2011,0.213
Missouri,519,134,2011,0.259
Montana,21511,3399,2011,0.158
MultiStateOperation,94867,30073,2011,0.317
Nebraska,9514,2455,2011,0.258
Nevada,1602,525,2011,0.328
New Hampshire,363,113,2011,0.31
New Jersey,412,105,2011,0.254
New Mexico,168,63,2011,0.376
New York,8073,4101,2011,0.508
North Carolina,1545,501,2011,0.324
North Dakota,34561,9539,2011,0.276
Ohio,2513,852,2011,0.339
Oklahoma,106,40,2011,0.379
Oregon,21472,4209,2011,0.196
Pennsylvania,8362,4423,2011,0.529
Rhode Island,56,10,2011,0.186
South Carolina,1155,327,2011,0.283
Tennessee,581,155,2011,0.267
Texas,9998,2659,2011,0.266
Utah,2783,840,2011,0.302
Vermont,1134,204,2011,0.18
Virginia,1653,458,2011,0.277
Washington,33460,7662,2011,0.229
West Virginia,236,100,2011,0.424
Wisconsin,459,168,2011,0.365
