State,Colonies,Lost Colonies,Year,Lost Unknown,Percent Lost
Kansas,1004,553,2015,301.43,0.550796813
Kansas,14129,6740,2016,170.16,0.477033053
Kansas,2455,1068,2017,378.42,0.43503055
Kansas,1004,553,2018,430.3,0.550796813
Kentucky,892,358,2015,665.82,0.401345291
Kentucky,2038,825,2016,228.6,0.404808636
Kentucky,3705,1975,2017,406.97,0.533063428
Kentucky,892,358,2018,274.33,0.401345291
Louisiana,15833,10988,2015,254.5,0.693993558
Louisiana,3053,1102,2016,312.1,0.360956436
Louisiana,6097,4207,2017,2359.1,0.690011481
Louisiana,15833,10988,2018,150.4,0.693993558
Maine,340,144,2015,46.36,0.423529412
Maine,23635,5507,2016,,0.233001904
Maine,413,235,2017,,0.569007264
Maine,340,144,2018,36.19,0.423529412
Maryland,3135,1075,2015,533.39,0.342902711
Maryland,4476,2462,2016,17.06,0.550044683
Maryland,4089,2020,2017,339.39,0.494008315
Maryland,3135,1075,2018,76.49,0.342902711
Massachusetts,527,242,2015,61.46,0.459203036
Massachusetts,13626,2167,2016,100.72,0.159034199
Massachusetts,1985,1288,2017,90.3,0.648866499
Massachusetts,527,242,2018,340.51,0.459203036
Michigan,26348,11593,2015,2366.5,0.439995446
Michigan,9023,2941,2016,1247.5,0.325944808
Michigan,21760,7703,2017,970,0.353998162
Michigan,26348,11593,2018,3032,0.439995446
Minnesota,32674,16370,2015,4964.2,0.501009977
Minnesota,15623,7718,2016,5470,0.494015234
Minnesota,11785,6317,2017,1144,0.536020365
Minnesota,32674,16370,2018,4446.9,0.501009977
Mississippi,14547,3826,2016,1483.7,0.263009555
Mississippi,11599,5568,2017,226.5,0.480041383
Missouri,666,238,2015,217.06,0.357357357
Missouri,755,254,2016,108.97,0.336423841
Missouri,754,255,2017,283.65,0.338196286
Missouri,666,238,2018,386.76,0.357357357
Montana,28003,4733,2015,740.3,0.169017605
Montana,26403,4515,2016,5555,0.171003295
Montana,105,65,2017,925.67,0.619047619
Montana,28003,4733,2018,565.64,0.169017605
Nebraska,13064,3005,2015,425.5,0.230021433
Nebraska,180,130,2016,83.32,0.722222222
Nebraska,13655,3236,2017,890.9,0.23698279
Nebraska,13064,3005,2018,429.37,0.230021433
New Jersey,698,279,2015,250.51,0.399713467
New Jersey,2969,1229,2016,154.55,0.413944089
New Jersey,721,329,2017,14.36,0.45631068
New Jersey,698,279,2018,11.29,0.399713467
New Mexico,106,55,2015,41.83,0.518867925
New Mexico,285,101,2016,27.4,0.354385965
New Mexico,235,163,2017,37.3,0.693617021
New Mexico,106,55,2018,58.4,0.518867925
New York,8882,2638,2015,753.1,0.297005179
New York,17937,7856,2016,662.2,0.437977365
New York,6557,2649,2017,867.7,0.40399573
New York,8882,2638,2018,750.5,0.297005179
North Carolina,1971,645,2015,1209.5,0.327245053
North Carolina,5784,1729,2016,223.9,0.298928077
North Carolina,2704,1490,2017,536.9,0.551035503
North Carolina,1971,645,2018,564.6,0.327245053
North Dakota,152070,58243,2015,6993.62,0.383001249
North Dakota,104636,39552,2016,5000.5,0.377996101
North Dakota,71291,22528,2017,1151.28,0.316000617
North Dakota,152070,58243,2018,3031,0.383001249
Ohio,1633,532,2015,1094,0.325780772
Ohio,1490,581,2016,488.2,0.389932886
Ohio,2443,1461,2017,966.2,0.598035203
Ohio,1633,532,2018,768,0.325780772
Oklahoma,6177,1909,2015,486.47,0.309049701
Oklahoma,3506,2942,2016,901.56,0.839132915
Oklahoma,347,144,2017,12.65,0.414985591
Oklahoma,6177,1909,2018,169.78,0.309049701
Oregon,65508,26531,2015,442,0.405003969
Oregon,25281,8191,2016,309.2,0.32399826
Oregon,21960,7708,2017,1668,0.351001821
Oregon,65508,26531,2018,184.8,0.405003969
Pennsylvania,5186,2427,2015,572.5,0.467990744
Pennsylvania,8128,4194,2016,260.7,0.515994094
Pennsylvania,5082,2699,2017,436.1,0.531090122
Pennsylvania,5186,2427,2018,585.96,0.467990744
South Carolina,6997,2442,2015,252.75,0.349006717
South Carolina,2223,1196,2016,234.88,0.538011696
South Carolina,2118,801,2017,83.88,0.378186969
South Carolina,6997,2442,2018,188.1,0.349006717
South Dakota,59608,25393,2015,3445.8,0.425999866
South Dakota,19684,6338,2016,1072.5,0.321987401
South Dakota,43635,12043,2017,1064.1,0.275994041
South Dakota,59608,25393,2018,877.39,0.425999866
Tennessee,1086,540,2015,241.8,0.497237569
Tennessee,713,349,2016,241.94,0.489481066
Tennessee,2319,1732,2017,478.9,0.746873652
Tennessee,1086,540,2018,815.6,0.497237569
Texas,131777,55215,2015,4135,0.419003316
Texas,42249,14745,2016,3264,0.349002343
Texas,39557,13647,2017,3421,0.344995829
Texas,131777,55215,2018,9540.5,0.419003316
Utah,1840,905,2015,76.7,0.491847826
Utah,1682,895,2016,150.3,0.532104637
Utah,755,338,2017,995.6,0.447682119
Utah,1840,905,2018,236.6,0.491847826
Vermont,1516,440,2015,50.38,0.290237467
Vermont,1169,567,2016,10.33,0.48502994
Vermont,930,531,2017,20.25,0.570967742
Vermont,1516,440,2018,8.19,0.290237467
Virginia,4123,1699,2015,398.67,0.412078584
Virginia,1880,829,2016,116.47,0.440957447
Virginia,4114,2686,2017,227.7,0.652892562
Virginia,4123,1699,2018,390.97,0.412078584
Washington,53208,24848,2015,564.5,0.466997444
Washington,49487,19646,2016,726.5,0.39699315
Washington,49112,11885,2017,840,0.241997882
Washington,53208,24848,2018,542.4,0.466997444
West Virginia,435,175,2015,177.83,0.402298851
West Virginia,628,167,2016,143.22,0.265923567
West Virginia,1584,851,2017,94.86,0.537247475
West Virginia,435,175,2018,260.05,0.402298851
Wisconsin,31583,13170,2015,2395.8,0.416996485
Wisconsin,13507,3971,2016,5729.9,0.293995706
Wisconsin,15837,4973,2017,3278.5,0.314011492
Wyoming,4972,1163,2016,33.22,0.233909895
Wyoming,66,27,2017,331.7,0.409090909
